Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2024-03-01 Kl. 00-01;0.75193;0.75193;0.28724;0.22979;0.75193
2024-03-01 Kl. 01-02;0.74014;0.74014;0.26755;0.21404;0.74014
2024-03-01 Kl. 02-03;0.74646;0.74646;0.28680;0.22944;0.74646
2024-03-01 Kl. 03-04;0.74589;0.74589;0.28896;0.23117;0.74589
2024-03-01 Kl. 04-05;0.74761;0.74761;0.29126;0.23301;0.74761
2024-03-01 Kl. 05-06;0.75465;0.75465;0.29801;0.23841;0.75465
2024-03-01 Kl. 06-07;0.78253;0.78253;0.40463;0.26439;0.78253
2024-03-01 Kl. 07-08;0.82118;0.82118;0.51154;0.29853;0.82118
2024-03-01 Kl. 08-09;0.83626;0.83626;0.60048;0.32175;0.83626
2024-03-01 Kl. 09-10;0.83641;0.83641;0.61988;0.34508;0.83641
2024-03-01 Kl. 10-11;0.83626;0.83626;0.63036;0.34232;0.83626
2024-03-01 Kl. 11-12;0.80896;0.80896;0.61556;0.34485;0.80896
2024-03-01 Kl. 12-13;0.78066;0.78066;0.60924;0.35612;0.78066
2024-03-01 Kl. 13-14;0.81328;0.81328;0.56771;0.35600;0.81328
2024-03-01 Kl. 14-15;0.88153;0.88153;0.52504;0.34083;0.88153
2024-03-01 Kl. 15-16;0.90668;0.90668;0.48825;0.32186;0.90668
2024-03-01 Kl. 16-17;0.88986;0.88986;0.46785;0.29876;0.88986
2024-03-01 Kl. 17-18;0.90683;0.90683;0.41009;0.30703;0.90683
2024-03-01 Kl. 18-19;0.89619;0.89619;0.42331;0.33865;0.89619
2024-03-01 Kl. 19-20;0.88785;0.88785;0.41814;0.33451;0.88785
2024-03-01 Kl. 20-21;0.86285;0.86285;0.38193;0.30554;0.86285
2024-03-01 Kl. 21-22;0.84360;0.84360;0.37920;0.30336;0.84360
2024-03-01 Kl. 22-23;0.80983;0.80983;0.38480;0.30784;0.80983
2024-03-01 Kl. 23-00;0.80666;0.80666;0.37288;0.29830;0.80666
2024-03-02 Kl. 00-01;0.81976;0.81976;0.44546;0.35637;0.81976
2024-03-02 Kl. 01-02;0.78546;0.78546;0.47305;0.37844;0.78546
2024-03-02 Kl. 02-03;0.77660;0.77660;0.49563;0.39650;0.77660
2024-03-02 Kl. 03-04;0.77003;0.77003;0.50635;0.40508;0.77003
2024-03-02 Kl. 04-05;0.76274;0.76274;0.53865;0.42234;0.76274
2024-03-02 Kl. 05-06;0.77531;0.77531;0.57466;0.42040;0.77531
2024-03-02 Kl. 06-07;0.78560;0.78560;0.52093;0.41674;0.78560
2024-03-02 Kl. 07-08;0.81604;0.81604;0.54150;0.42509;0.81604
2024-03-02 Kl. 08-09;0.82919;0.82919;0.57066;0.43309;0.82919
2024-03-02 Kl. 09-10;0.83848;0.83848;0.60153;0.44612;0.83848
2024-03-02 Kl. 10-11;0.83376;0.83376;0.59210;0.46430;0.83376
2024-03-02 Kl. 11-12;0.81248;0.81248;0.61596;0.45150;0.81248
2024-03-02 Kl. 12-13;0.78346;0.78346;0.62483;0.49986;0.78346
2024-03-02 Kl. 13-14;0.78331;0.78331;0.68499;0.54673;0.78331
2024-03-02 Kl. 14-15;0.81075;0.81075;0.70529;0.50820;0.81075
2024-03-02 Kl. 15-16;0.83720;0.83720;0.72373;0.49952;0.83720
2024-03-02 Kl. 16-17;0.84591;0.84591;0.74559;0.49929;0.84591
2024-03-02 Kl. 17-18;0.90136;0.90136;0.71100;0.51667;0.90136
2024-03-02 Kl. 18-19;0.91365;0.91365;0.70629;0.43892;0.91365
2024-03-02 Kl. 19-20;0.86349;0.86349;0.69956;0.43892;0.86349
2024-03-02 Kl. 20-21;0.83676;0.83676;0.70000;0.44658;0.83676
2024-03-02 Kl. 21-22;0.83234;0.83234;0.68699;0.44235;0.83234
2024-03-02 Kl. 22-23;0.81948;0.81948;0.64840;0.43892;0.81948
2024-03-02 Kl. 23-00;0.78589;0.78589;0.64098;0.43435;0.78589
2024-03-03 Kl. 00-01;0.77681;0.77681;0.73505;0.46900;0.77681
2024-03-03 Kl. 01-02;0.76441;0.76441;0.74075;0.46729;0.76441
2024-03-03 Kl. 02-03;0.76684;0.76684;0.74845;0.46774;0.76684
2024-03-03 Kl. 03-04;0.76940;0.76940;0.76243;0.46501;0.76940
2024-03-03 Kl. 04-05;0.76555;0.76555;0.76555;0.46501;0.76555
2024-03-03 Kl. 05-06;0.77269;0.77269;0.77269;0.45645;0.77269
2024-03-03 Kl. 06-07;0.77910;0.77910;0.77910;0.46273;0.77910
2024-03-03 Kl. 07-08;0.79121;0.79121;0.79121;0.63297;0.79121
2024-03-03 Kl. 08-09;0.78066;0.78066;0.78066;0.62453;0.78066
2024-03-03 Kl. 09-10;0.76955;0.76955;0.76955;0.61564;0.76955
2024-03-03 Kl. 10-11;0.76199;0.76199;0.74133;0.59306;0.76199
2024-03-03 Kl. 11-12;0.72750;0.72750;0.70498;0.56398;0.72750
2024-03-03 Kl. 12-13;0.69743;0.69743;0.67719;0.54175;0.69743
2024-03-03 Kl. 13-14;0.66835;0.66835;0.60591;0.48473;0.66835
2024-03-03 Kl. 14-15;0.71638;0.71638;0.66764;0.50013;0.71638
2024-03-03 Kl. 15-16;0.77454;0.77454;0.75016;0.50001;0.77454
2024-03-03 Kl. 16-17;0.83169;0.83169;0.73776;0.44847;0.83169
2024-03-03 Kl. 17-18;0.89655;0.89655;0.73249;0.44938;0.89655
2024-03-03 Kl. 18-19;0.90310;0.90310;0.73064;0.45007;0.90310
2024-03-03 Kl. 19-20;0.87146;0.87146;0.72906;0.45007;0.87146
2024-03-03 Kl. 20-21;0.85221;0.85221;0.72436;0.44824;0.85221
2024-03-03 Kl. 21-22;0.83896;0.83896;0.71838;0.48690;0.83896
2024-03-03 Kl. 22-23;0.83126;0.83126;0.70213;0.46489;0.83126
2024-03-03 Kl. 23-00;0.82570;0.82570;0.67419;0.45007;0.82570
2024-03-04 Kl. 00-01;0.83369;0.83369;0.63428;0.45463;0.83369
2024-03-04 Kl. 01-02;0.83825;0.83825;0.63456;0.45007;0.83825
2024-03-04 Kl. 02-03;0.83668;0.83668;0.63258;0.44756;0.83668
2024-03-04 Kl. 03-04;0.83810;0.83810;0.63258;0.44448;0.83810
2024-03-04 Kl. 04-05;0.84081;0.84081;0.63741;0.42293;0.84081
2024-03-04 Kl. 05-06;0.85350;0.85350;0.64126;0.41278;0.85350
2024-03-04 Kl. 06-07;0.86833;0.86833;0.67619;0.43388;0.86833
2024-03-04 Kl. 07-08;1.33384;1.33384;0.73306;0.44277;0.92476
2024-03-04 Kl. 08-09;1.42221;1.42221;0.77568;0.43513;0.93246
2024-03-04 Kl. 09-10;1.17164;1.17164;0.76913;0.44003;0.93019
2024-03-04 Kl. 10-11;0.90824;0.90824;0.75188;0.45224;0.90824
2024-03-04 Kl. 11-12;0.85408;0.85408;0.74019;0.45372;0.85408
2024-03-04 Kl. 12-13;0.84453;0.84453;0.73164;0.45281;0.84453
2024-03-04 Kl. 13-14;0.84395;0.84395;0.72964;0.45748;0.84395
2024-03-04 Kl. 14-15;0.84951;0.84951;0.72521;0.47744;0.84951
2024-03-04 Kl. 15-16;0.85336;0.85336;0.72123;0.49944;0.85336
2024-03-04 Kl. 16-17;0.86120;0.86120;0.72265;0.50013;0.86120
2024-03-04 Kl. 17-18;1.03095;1.03095;0.72236;0.53148;0.93161
2024-03-04 Kl. 18-19;1.03095;1.03095;0.72579;0.55862;0.92563
2024-03-04 Kl. 19-20;0.89484;0.89484;0.72536;0.46318;0.89484
2024-03-04 Kl. 20-21;0.86790;0.86790;0.71995;0.46455;0.86790
2024-03-04 Kl. 21-22;0.84438;0.84438;0.71866;0.46102;0.84438
2024-03-04 Kl. 22-23;0.83013;0.83013;0.71595;0.57276;0.83013
2024-03-04 Kl. 23-00;0.82485;0.82485;0.67719;0.50013;0.82485
2024-03-05 Kl. 00-01;0.80380;0.80380;0.69383;0.53539;0.80380
2024-03-05 Kl. 01-02;0.80766;0.80766;0.68396;0.52692;0.80766
2024-03-05 Kl. 02-03;0.80738;0.80738;0.67353;0.52246;0.80738
2024-03-05 Kl. 03-04;0.80594;0.80594;0.68568;0.53447;0.80594
2024-03-05 Kl. 04-05;0.80751;0.80751;0.69798;0.54591;0.80751
2024-03-05 Kl. 05-06;0.82068;0.82068;0.73059;0.58447;0.82068
2024-03-05 Kl. 06-07;0.83483;0.83483;0.80036;0.64029;0.83483
2024-03-05 Kl. 07-08;0.86229;0.86229;0.83183;0.66546;0.86229
2024-03-05 Kl. 08-09;0.87573;0.87573;0.80051;0.64041;0.87573
2024-03-05 Kl. 09-10;0.85285;0.85285;0.83583;0.66866;0.85285
2024-03-05 Kl. 10-11;0.84626;0.84626;0.81766;0.65413;0.84626
2024-03-05 Kl. 11-12;0.84684;0.84684;0.84684;0.67747;0.84684
2024-03-05 Kl. 12-13;0.83811;0.83811;0.83811;0.67049;0.83811
2024-03-05 Kl. 13-14;0.83783;0.83783;0.83783;0.67026;0.83783
2024-03-05 Kl. 14-15;0.84455;0.84455;0.84455;0.67564;0.84455
2024-03-05 Kl. 15-16;0.85299;0.85299;0.85299;0.68239;0.85299
2024-03-05 Kl. 16-17;0.86786;0.86786;0.86786;0.69429;0.86786
2024-03-05 Kl. 17-18;1.05619;1.05619;1.05619;0.84495;1.05619
2024-03-05 Kl. 18-19;1.36879;1.36879;1.36879;1.09503;1.36879
2024-03-05 Kl. 19-20;1.12640;1.12640;1.12640;0.90112;1.12640
2024-03-05 Kl. 20-21;0.97054;0.97054;0.97054;0.77643;0.97054
2024-03-05 Kl. 21-22;0.91134;0.91134;0.91134;0.72907;0.91134
2024-03-05 Kl. 22-23;0.88631;0.88631;0.88631;0.70905;0.88631
2024-03-05 Kl. 23-00;0.86929;0.86929;0.86929;0.69543;0.86929
2024-03-06 Kl. 00-01;0.91875;0.91875;0.91875;0.73500;0.91875
2024-03-06 Kl. 01-02;0.90081;0.90081;0.90081;0.72065;0.90081
2024-03-06 Kl. 02-03;0.89220;0.89220;0.89220;0.71376;0.89220
2024-03-06 Kl. 03-04;0.90039;0.90039;0.90039;0.72031;0.90039
2024-03-06 Kl. 04-05;0.93166;0.93166;0.93166;0.74533;0.93166
2024-03-06 Kl. 05-06;0.98419;0.98419;0.98419;0.78735;0.98419
2024-03-06 Kl. 06-07;1.16200;1.16200;1.16200;0.92960;1.16200
2024-03-06 Kl. 07-08;1.48605;1.48605;1.48605;0.82742;1.48605
2024-03-06 Kl. 08-09;1.51159;1.51159;1.52250;0.56072;1.51159
2024-03-06 Kl. 09-10;1.21525;1.21525;1.21525;0.55085;1.21525
2024-03-06 Kl. 10-11;1.05323;1.05323;1.05323;0.49356;1.05323
2024-03-06 Kl. 11-12;0.99984;0.99984;0.99984;0.79987;0.99984
2024-03-06 Kl. 12-13;0.96611;0.96611;0.96611;0.55085;0.96611
2024-03-06 Kl. 13-14;0.96454;0.96454;0.96454;0.55028;0.96454
2024-03-06 Kl. 14-15;0.98133;0.98133;0.98133;0.53948;0.98133
2024-03-06 Kl. 15-16;1.00400;1.00400;1.00400;0.80320;1.00400
2024-03-06 Kl. 16-17;1.10848;1.10848;1.10848;0.88678;1.10848
2024-03-06 Kl. 17-18;1.39061;1.39061;1.43510;1.14808;1.39061
2024-03-06 Kl. 18-19;1.66285;1.66285;1.66285;0.57829;1.66285
2024-03-06 Kl. 19-20;1.65826;1.65826;1.29116;0.57783;1.29116
2024-03-06 Kl. 20-21;1.29876;1.29876;1.29130;0.60091;1.29130
2024-03-06 Kl. 21-22;1.11465;1.11465;1.11465;0.89172;1.11465
2024-03-06 Kl. 22-23;1.04590;1.04590;1.04590;0.83672;1.04590
2024-03-06 Kl. 23-00;0.94071;0.94071;0.93053;0.74442;0.94071
2024-03-07 Kl. 00-01;0.97340;0.97340;0.97340;0.77872;0.97340
2024-03-07 Kl. 01-02;0.94214;0.94214;0.94214;0.75371;0.94214
2024-03-07 Kl. 02-03;0.92908;0.92908;0.92908;0.74326;0.92908
2024-03-07 Kl. 03-04;0.92278;0.92278;0.92278;0.73822;0.92278
2024-03-07 Kl. 04-05;0.92951;0.92951;0.92951;0.74361;0.92951
2024-03-07 Kl. 05-06;0.95160;0.95160;0.95160;0.76128;0.95160
2024-03-07 Kl. 06-07;1.12545;1.12545;1.02118;0.81694;1.02118
2024-03-07 Kl. 07-08;1.48034;1.48034;0.99048;0.79238;1.48034
2024-03-07 Kl. 08-09;1.34693;1.34693;0.93238;0.74590;1.34693
2024-03-07 Kl. 09-10;1.10035;1.10035;0.91589;0.73271;1.10035
2024-03-07 Kl. 10-11;0.99004;0.99004;0.91345;0.73076;0.99004
2024-03-07 Kl. 11-12;0.91861;0.91861;0.91861;0.59913;0.91861
2024-03-07 Kl. 12-13;0.87471;0.87471;0.87471;0.53900;0.87471
2024-03-07 Kl. 13-14;0.86439;0.86439;0.86439;0.51754;0.86439
2024-03-07 Kl. 14-15;0.88663;0.88663;0.88663;0.53705;0.88663
2024-03-07 Kl. 15-16;0.91158;0.91158;0.91158;0.59982;0.91158
2024-03-07 Kl. 16-17;0.93066;0.93066;0.91288;0.73030;0.93066
2024-03-07 Kl. 17-18;1.23676;1.23676;0.85936;0.68749;1.12704
2024-03-07 Kl. 18-19;1.47230;1.47230;0.79698;0.63758;1.07640
2024-03-07 Kl. 19-20;1.25570;1.25570;0.79324;0.59580;1.05301
2024-03-07 Kl. 20-21;1.14611;1.14611;0.78908;0.63126;1.05345
2024-03-07 Kl. 21-22;0.98488;0.98488;0.81648;0.65318;0.98488
2024-03-07 Kl. 22-23;0.92635;0.92635;0.84631;0.67705;0.92635
2024-03-07 Kl. 23-00;0.91345;0.91345;0.88648;0.70918;0.91345
2024-03-08 Kl. 00-01;0.94249;0.94249;0.94249;0.75399;0.94249
2024-03-08 Kl. 01-02;0.92509;0.92509;0.92509;0.74007;0.92509
2024-03-08 Kl. 02-03;0.92481;0.92481;0.92481;0.73985;0.92481
2024-03-08 Kl. 03-04;0.91255;0.91255;0.91255;0.73004;0.91255
2024-03-08 Kl. 04-05;0.91583;0.91583;0.91583;0.73266;0.91583
2024-03-08 Kl. 05-06;0.92709;0.92709;0.92709;0.74167;0.92709
2024-03-08 Kl. 06-07;1.07693;1.07693;1.07693;0.86154;1.07693
2024-03-08 Kl. 07-08;1.35520;1.35520;1.35520;1.08416;1.35520
2024-03-08 Kl. 08-09;1.26396;1.26396;1.26724;1.01379;1.26396
2024-03-08 Kl. 09-10;0.99865;0.99865;1.03458;0.82766;0.99865
2024-03-08 Kl. 10-11;0.84640;0.84640;0.84640;0.67712;0.84640
2024-03-08 Kl. 11-12;0.79521;0.79521;0.79521;0.63617;0.79521
2024-03-08 Kl. 12-13;0.77226;0.77226;0.77226;0.61781;0.77226
2024-03-08 Kl. 13-14;0.75274;0.75274;0.75274;0.60219;0.75274
2024-03-08 Kl. 14-15;0.74104;0.74104;0.74104;0.59283;0.74104
2024-03-08 Kl. 15-16;0.75159;0.75159;0.75159;0.60127;0.75159
2024-03-08 Kl. 16-17;0.82844;0.82844;0.82844;0.66275;0.82844
2024-03-08 Kl. 17-18;0.90100;0.90100;0.99239;0.79391;0.90100
2024-03-08 Kl. 18-19;1.08263;1.08263;1.08263;0.86610;1.08263
2024-03-08 Kl. 19-20;1.10401;1.10401;1.10401;0.88321;1.10401
2024-03-08 Kl. 20-21;0.98155;0.98155;0.98155;0.78524;0.98155
2024-03-08 Kl. 21-22;0.90229;0.90229;0.90229;0.72183;0.90229
2024-03-08 Kl. 22-23;0.89844;0.89844;0.89844;0.71875;0.89844
2024-03-08 Kl. 23-00;0.85381;0.85381;0.85381;0.68305;0.85381
2024-03-09 Kl. 00-01;0.82216;0.82216;0.82216;0.65773;0.82216
2024-03-09 Kl. 01-02;0.77903;0.77903;0.77903;0.62322;0.77903
2024-03-09 Kl. 02-03;0.76555;0.76555;0.76555;0.61244;0.76555
2024-03-09 Kl. 03-04;0.75789;0.75789;0.75789;0.60631;0.75789
2024-03-09 Kl. 04-05;0.71008;0.71008;0.71986;0.56511;0.71986
2024-03-09 Kl. 05-06;0.69830;0.69830;0.72058;0.55580;0.72058
2024-03-09 Kl. 06-07;0.73249;0.73249;0.73249;0.58599;0.73249
2024-03-09 Kl. 07-08;0.75279;0.75279;0.75279;0.59984;0.75279
2024-03-09 Kl. 08-09;0.75279;0.75279;0.75279;0.59984;0.75279
2024-03-09 Kl. 09-10;0.72866;0.72866;0.72938;0.54616;0.72938
2024-03-09 Kl. 10-11;0.69958;0.69958;0.72725;0.55966;0.72725
2024-03-09 Kl. 11-12;0.68071;0.68071;0.72668;0.54457;0.72668
2024-03-09 Kl. 12-13;0.69915;0.69915;0.69915;0.55932;0.72313
2024-03-09 Kl. 13-14;0.69646;0.69646;0.66666;0.53333;0.72270
2024-03-09 Kl. 14-15;0.68851;0.68851;0.64468;0.51574;0.72243
2024-03-09 Kl. 15-16;0.71590;0.71590;0.64539;0.51631;0.72256
2024-03-09 Kl. 16-17;0.76853;0.76853;0.76513;0.61210;0.76853
2024-03-09 Kl. 17-18;0.84911;0.84911;0.84911;0.67929;0.84911
2024-03-09 Kl. 18-19;0.88046;0.88046;0.88046;0.70437;0.88046
2024-03-09 Kl. 19-20;0.85351;0.85351;0.85351;0.68281;0.85351
2024-03-09 Kl. 20-21;0.83635;0.83635;0.80641;0.64513;0.83635
2024-03-09 Kl. 21-22;0.83124;0.83124;0.76640;0.61312;0.83124
2024-03-09 Kl. 22-23;0.81265;0.81265;0.75165;0.60132;0.81265
2024-03-09 Kl. 23-00;0.79449;0.79449;0.71391;0.57113;0.79449
2024-03-10 Kl. 00-01;0.74208;0.74208;0.69374;0.55499;0.74208
2024-03-10 Kl. 01-02;0.67776;0.67776;0.65681;0.52545;0.72496
2024-03-10 Kl. 02-03;0.60305;0.60305;0.58436;0.46749;0.72454
2024-03-10 Kl. 03-04;0.52319;0.52319;0.50694;0.40555;0.72440
2024-03-10 Kl. 04-05;0.47670;0.47670;0.46188;0.36950;0.72454
2024-03-10 Kl. 05-06;0.47514;0.47514;0.46031;0.36825;0.72683
2024-03-10 Kl. 06-07;0.49795;0.49795;0.48355;0.38684;0.72625
2024-03-10 Kl. 07-08;0.57995;0.57995;0.56313;0.45050;0.72654
2024-03-10 Kl. 08-09;0.51350;0.51350;0.49653;0.39722;0.72683
2024-03-10 Kl. 09-10;0.54001;0.54001;0.49210;0.35718;0.72754
2024-03-10 Kl. 10-11;0.67249;0.67249;0.63755;0.37224;0.72668
2024-03-10 Kl. 11-12;0.72454;0.72454;0.71228;0.38467;0.72881
2024-03-10 Kl. 12-13;0.70244;0.70244;0.72640;0.38171;0.72640
2024-03-10 Kl. 13-14;0.69988;0.69988;0.72568;0.38444;0.72568
2024-03-10 Kl. 14-15;0.70315;0.70315;0.72540;0.38250;0.72540
2024-03-10 Kl. 15-16;0.70073;0.70073;0.72511;0.36790;0.72511
2024-03-10 Kl. 16-17;0.74964;0.74964;0.74964;0.55613;0.74964
2024-03-10 Kl. 17-18;0.79813;0.79813;0.78685;0.62948;0.79813
2024-03-10 Kl. 18-19;0.82194;0.82194;0.82194;0.65755;0.82194
2024-03-10 Kl. 19-20;0.82023;0.82023;0.79214;0.63371;0.82023
2024-03-10 Kl. 20-21;0.79940;0.79940;0.77303;0.57051;0.79940
2024-03-10 Kl. 21-22;0.78429;0.78429;0.78086;0.59834;0.78429
2024-03-10 Kl. 22-23;0.77944;0.77944;0.77944;0.57051;0.77944
2024-03-10 Kl. 23-00;0.76590;0.76590;0.76590;0.56001;0.76590
2024-03-11 Kl. 00-01;0.74080;0.74080;0.74080;0.41844;0.74080
2024-03-11 Kl. 01-02;0.72596;0.72596;0.72596;0.38673;0.72596
2024-03-11 Kl. 02-03;0.73894;0.73894;0.73894;0.39745;0.73894
2024-03-11 Kl. 03-04;0.72939;0.72939;0.72939;0.39927;0.72939
2024-03-11 Kl. 04-05;0.76034;0.76034;0.76034;0.50731;0.76034
2024-03-11 Kl. 05-06;0.78358;0.78358;0.78358;0.62686;0.78358
2024-03-11 Kl. 06-07;0.82608;0.82608;0.80483;0.64386;0.82608
2024-03-11 Kl. 07-08;0.88796;0.88796;0.88796;0.71037;0.88796
2024-03-11 Kl. 08-09;0.92389;0.92389;0.92389;0.73911;0.92389
2024-03-11 Kl. 09-10;0.89623;0.89623;0.89623;0.71698;0.89623
2024-03-11 Kl. 10-11;0.88269;0.88269;0.88269;0.70615;0.88269
2024-03-11 Kl. 11-12;0.86186;0.86186;0.86186;0.68949;0.86186
2024-03-11 Kl. 12-13;0.83990;0.83990;0.83919;0.67135;0.83990
2024-03-11 Kl. 13-14;0.84019;0.84019;0.84019;0.67215;0.84019
2024-03-11 Kl. 14-15;0.83734;0.83734;0.83734;0.66987;0.83734
2024-03-11 Kl. 15-16;0.85488;0.85488;0.85488;0.68390;0.85488
2024-03-11 Kl. 16-17;0.87855;0.87855;0.87855;0.70284;0.87855
2024-03-11 Kl. 17-18;0.93145;0.93145;0.93145;0.74516;0.93145
2024-03-11 Kl. 18-19;1.04111;1.04111;1.04111;0.83289;1.04111
2024-03-11 Kl. 19-20;0.99833;0.99833;0.99833;0.79866;0.99833
2024-03-11 Kl. 20-21;0.95811;0.95811;0.95811;0.76649;0.95811
2024-03-11 Kl. 21-22;0.93530;0.93530;0.93530;0.74824;0.93530
2024-03-11 Kl. 22-23;0.90479;0.90479;0.90479;0.72383;0.90479
2024-03-11 Kl. 23-00;0.90165;0.90165;0.85488;0.68390;0.90165
2024-03-12 Kl. 00-01;0.92251;0.92251;0.92251;0.73801;0.92251
2024-03-12 Kl. 01-02;0.90679;0.90679;0.90679;0.72543;0.90679
2024-03-12 Kl. 02-03;0.90450;0.90450;0.90450;0.72360;0.90450
2024-03-12 Kl. 03-04;0.90179;0.90179;0.90179;0.72143;0.90179
2024-03-12 Kl. 04-05;0.91236;0.91236;0.91236;0.72989;0.91236
2024-03-12 Kl. 05-06;0.98824;0.98824;0.98824;0.79059;0.98824
2024-03-12 Kl. 06-07;1.03468;1.03468;1.03468;0.82774;1.03468
2024-03-12 Kl. 07-08;1.36961;1.36961;1.35361;1.08289;1.36961
2024-03-12 Kl. 08-09;1.41891;1.41891;1.41891;1.13513;1.41891
2024-03-12 Kl. 09-10;1.29903;1.29903;1.29903;1.03922;1.29903
2024-03-12 Kl. 10-11;1.18758;1.18758;1.18758;0.95006;1.18758
